company,h-index,repo count,contributor count,location,country,employee,top_language
makemytrip,2,10,409,Gurgaon,,,Python
agilethought,2,10,124,United States,,,JavaScript
hoppscotch,7,10,237,India,,,Vue
freecodecampchina,5,10,601,"Suzhou, China",,,JavaScript
puppeteer,7,9,441,,,,TypeScript
jumeirdgroup,6,8,7,,China,200,Java
dangdangdotcom,5,8,80,,China,2917,Java
compass,5,8,225,,,,Ruby
semrush,4,8,37,,,,JavaScript
soundhound,3,8,11,,,,Java
alamofire,5,8,261,,,,Swift
N-able,5,7,15,,,,VBScript
avepoint,3,7,311,"Jersey City, New Jersey, USA",,,C#
lantronix,2,7,10,,,,C
moment,6,7,831,,,,JavaScript
git,0,7,710,,,,HTML
quilljs,6,7,167,,,,JavaScript
micro,4,6,81,,,,Go
tripadvisor,3,6,10,,USA,2691,Java
vacasa,2,6,42,"Portland, Oregon",,,Python
zuora,1,6,41,"San Mateo, CA",USA,1249,Java
qorvo,1,6,255,"Greensboro, North Carolina",,,C
supermicro,0,6,66,United States of America,,,Makefile
evercommerce,0,6,25,,,,PHP
ohmyzsh,5,6,1045,"Portland, OR",,,Shell
powerline,4,6,178,,,,Shell
endava,4,5,8,London,,,Java
vanguard,3,5,7,"Valley Forge, PA",,,Java
spire,1,5,4,,,,Haskell
payoneer,2,5,5,New York,,,C#
mtdvio,0,5,162,Berlin,,,JavaScript
huginn,3,5,222,,,,Ruby
layui,4,5,67,Hangzhou China,,,JavaScript
nortonlifeLock,2,4,40,"Tempe, Arizona",,,Go
legalzoom,2,4,276,United States of America,,,Go
channeladvisor,2,4,8,"Morrisville, NC",,,TSQL
lendingclub,1,4,130,,USA,1530,Java
kinaxis,1,4,11,"Ottawa, ON  Canada",,,HCL
simcorp,1,4,22,,,,C#
upstart,1,4,8,"Portland, OR",,,Objective-C
ChangbaDevs,0,4,5,,China,199,Objective-C
monotaro,0,4,156,"Amagasaki, JAPAN",,,Python
teladoc,0,4,359,United States of America,,,JavaScript
smartsheet,1,4,156,"Bellevue, WA",,,Dockerfile
bitcoin,0,4,569,,,,C
konami,2,3,1,,,,C#
jumia,2,3,10,,,,SCSS
sailpoint,1,3,43,,,,Ruby
temenos,1,3,12,,,,TypeScript
meili,0,3,3,"Hangzhou, China",China,40,Java
identiv,1,3,4,,,,Java
isocpp,0,3,301,,,,Python
five9,1,2,1,"San Ramon, CA",,,CSS
nordic,1,2,1,,,,C
nerdwallet,1,2,31,,,,Python
gitlab,0,2,5,,,,Ruby
dlocal,0,2,24,,,,HTML
tietoevry,0,2,6,,,,Java
impress,0,2,76,,,,JavaScript
snapkit,0,2,121,,,,Swift
exacity,0,2,30,China,,,TeX
doubleverify,0,1,6,,,,
knowbe4,0,1,3,"Clearwater, FL",,,Go
sprinklr,0,1,1,,,,Ruby
plantronics,0,1,1,"Santa Cruz, California",,,JavaScript
ytdl-org,0,1,392,,,,Python
resume,0,1,46,,,,JavaScript
raywenderlich,0,1,1,,,,
eplus,0,0,0,"Herndon, VA",,,
phreesia,0,0,0,,,,
